<TICKER>,<PER>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.RTS-12.16,5,2016-10-07 20:10:00,99480.0000000,99550.0000000,99470.0000000,99510.0000000,846
SPFB.RTS-12.16,5,2016-10-07 20:15:00,99510.0000000,99560.0000000,99480.0000000,99500.0000000,965
SPFB.RTS-12.16,5,2016-10-07 20:20:00,99500.0000000,99530.0000000,99490.0000000,99510.0000000,724
SPFB.RTS-12.16,5,2016-10-07 20:25:00,99520.0000000,99530.0000000,99440.0000000,99460.0000000,951
SPFB.RTS-12.16,5,2016-10-07 20:30:00,99460.0000000,99580.0000000,99450.0000000,99570.0000000,2350
SPFB.RTS-12.16,5,2016-10-07 20:35:00,99580.0000000,99680.0000000,99550.0000000,99640.0000000,4060
SPFB.RTS-12.16,5,2016-10-07 20:40:00,99640.0000000,99660.0000000,99600.0000000,99610.0000000,2042
SPFB.RTS-12.16,5,2016-10-07 20:45:00,99610.0000000,99670.0000000,99600.0000000,99640.0000000,1099
SPFB.RTS-12.16,5,2016-10-07 20:50:00,99640.0000000,99730.0000000,99620.0000000,99670.0000000,2509
SPFB.RTS-12.16,5,2016-10-07 20:55:00,99670.0000000,99690.0000000,99620.0000000,99640.0000000,1016
SPFB.RTS-12.16,5,2016-10-07 21:00:00,99630.0000000,99720.0000000,99620.0000000,99700.0000000,1862
SPFB.RTS-12.16,5,2016-10-07 21:05:00,99710.0000000,99710.0000000,99660.0000000,99670.0000000,737
SPFB.RTS-12.16,5,2016-10-07 21:10:00,99660.0000000,99690.0000000,99630.0000000,99670.0000000,824
SPFB.RTS-12.16,5,2016-10-07 21:15:00,99660.0000000,99870.0000000,99660.0000000,99810.0000000,5541
SPFB.RTS-12.16,5,2016-10-07 21:20:00,99820.0000000,99850.0000000,99780.0000000,99830.0000000,3022
SPFB.RTS-12.16,5,2016-10-07 21:25:00,99840.0000000,99840.0000000,99770.0000000,99800.0000000,1315
SPFB.RTS-12.16,5,2016-10-07 21:30:00,99800.0000000,99870.0000000,99710.0000000,99750.0000000,3828
SPFB.RTS-12.16,5,2016-10-07 21:35:00,99750.0000000,99800.0000000,99710.0000000,99750.0000000,1666
SPFB.RTS-12.16,5,2016-10-07 21:40:00,99750.0000000,99810.0000000,99720.0000000,99790.0000000,1520
SPFB.RTS-12.16,5,2016-10-07 21:45:00,99780.0000000,99800.0000000,99760.0000000,99790.0000000,1019
SPFB.RTS-12.16,5,2016-10-07 21:50:00,99780.0000000,99810.0000000,99750.0000000,99770.0000000,479
SPFB.RTS-12.16,5,2016-10-07 21:55:00,99770.0000000,99780.0000000,99740.0000000,99740.0000000,575
SPFB.RTS-12.16,5,2016-10-07 22:00:00,99750.0000000,99780.0000000,99740.0000000,99770.0000000,820
SPFB.RTS-12.16,5,2016-10-07 22:05:00,99760.0000000,99790.0000000,99740.0000000,99770.0000000,851
SPFB.RTS-12.16,5,2016-10-07 22:10:00,99770.0000000,99770.0000000,99750.0000000,99750.0000000,203
SPFB.RTS-12.16,5,2016-10-07 22:15:00,99750.0000000,99760.0000000,99730.0000000,99730.0000000,1047
SPFB.RTS-12.16,5,2016-10-07 22:20:00,99740.0000000,99740.0000000,99670.0000000,99670.0000000,888
SPFB.RTS-12.16,5,2016-10-07 22:25:00,99680.0000000,99700.0000000,99670.0000000,99690.0000000,764
SPFB.RTS-12.16,5,2016-10-07 22:30:00,99690.0000000,99730.0000000,99680.0000000,99720.0000000,701
SPFB.RTS-12.16,5,2016-10-07 22:35:00,99730.0000000,99750.0000000,99680.0000000,99680.0000000,711
SPFB.RTS-12.16,5,2016-10-07 22:40:00,99680.0000000,99730.0000000,99680.0000000,99730.0000000,842
SPFB.RTS-12.16,5,2016-10-07 22:45:00,99720.0000000,99730.0000000,99570.0000000,99640.0000000,2642
SPFB.RTS-12.16,5,2016-10-07 22:50:00,99640.0000000,99670.0000000,99640.0000000,99670.0000000,613
SPFB.RTS-12.16,5,2016-10-07 22:55:00,99660.0000000,99770.0000000,99650.0000000,99750.0000000,1201
SPFB.RTS-12.16,5,2016-10-07 23:00:00,99740.0000000,99880.0000000,99740.0000000,99800.0000000,2229
SPFB.RTS-12.16,5,2016-10-07 23:05:00,99790.0000000,99810.0000000,99710.0000000,99720.0000000,827
SPFB.RTS-12.16,5,2016-10-07 23:10:00,99720.0000000,99730.0000000,99640.0000000,99660.0000000,728
SPFB.RTS-12.16,5,2016-10-07 23:15:00,99680.0000000,99740.0000000,99660.0000000,99740.0000000,433
SPFB.RTS-12.16,5,2016-10-07 23:20:00,99730.0000000,99740.0000000,99650.0000000,99660.0000000,619
SPFB.RTS-12.16,5,2016-10-07 23:25:00,99670.0000000,99700.0000000,99660.0000000,99700.0000000,221
SPFB.RTS-12.16,5,2016-10-07 23:30:00,99700.0000000,99730.0000000,99680.0000000,99720.0000000,319
SPFB.RTS-12.16,5,2016-10-07 23:35:00,99720.0000000,99780.0000000,99720.0000000,99750.0000000,542
SPFB.RTS-12.16,5,2016-10-07 23:40:00,99750.0000000,99760.0000000,99700.0000000,99720.0000000,1097
SPFB.RTS-12.16,5,2016-10-07 23:45:00,99720.0000000,99780.0000000,99690.0000000,99770.0000000,1004
SPFB.RTS-12.16,5,2016-10-07 23:50:00,99770.0000000,99820.0000000,99730.0000000,99760.0000000,2650
